timestamp,model_name,request_count
2025-06-07 18:26:57,efficientnetb0,1
2025-06-07 18:26:57,resnet18,1
2025-06-07 18:26:57,vit16,3
2025-06-07 18:26:58,efficientnetb0,3
2025-06-07 18:26:58,resnet18,3
2025-06-07 18:26:58,vit16,7
2025-06-07 18:26:59,efficientnetb0,5
2025-06-07 18:26:59,resnet18,5
2025-06-07 18:26:59,vit16,11
2025-06-07 18:27:00,efficientnetb0,7
2025-06-07 18:27:00,resnet18,7
2025-06-07 18:27:00,vit16,15
2025-06-07 18:27:01,efficientnetb0,9
2025-06-07 18:27:01,resnet18,9
2025-06-07 18:27:01,vit16,19
2025-06-07 18:27:02,vit16,23
2025-06-07 18:27:02,efficientnetb0,11
2025-06-07 18:27:02,resnet18,11
2025-06-07 18:27:03,efficientnetb0,13
2025-06-07 18:27:03,resnet18,13
2025-06-07 18:27:03,vit16,27
2025-06-07 18:27:04,efficientnetb0,15
2025-06-07 18:27:04,resnet18,15
2025-06-07 18:27:04,vit16,31
2025-06-07 18:27:05,efficientnetb0,26
2025-06-07 18:27:05,resnet18,26
2025-06-07 18:27:05,vit16,54
2025-06-07 18:27:06,vit16,41
2025-06-07 18:27:06,efficientnetb0,20
2025-06-07 18:27:06,resnet18,20
2025-06-07 18:27:07,vit16,45
2025-06-07 18:27:07,resnet18,22
2025-06-07 18:27:07,efficientnetb0,22
2025-06-07 18:27:08,efficientnetb0,12
2025-06-07 18:27:08,resnet18,12
2025-06-07 18:27:08,vit16,24
2025-06-07 18:27:09,efficientnetb0,38
2025-06-07 18:27:09,resnet18,38
2025-06-07 18:27:09,vit16,78
2025-06-07 18:27:10,efficientnetb0,28
2025-06-07 18:27:10,resnet18,28
2025-06-07 18:27:10,vit16,57
2025-06-07 18:27:11,efficientnetb0,15
2025-06-07 18:27:11,resnet18,15
2025-06-07 18:27:11,vit16,30
2025-06-07 18:27:12,resnet18,31
2025-06-07 18:27:12,vit16,63
2025-06-07 18:27:12,efficientnetb0,31
2025-06-07 18:27:13,efficientnetb0,50
2025-06-07 18:27:13,resnet18,50
2025-06-07 18:27:13,vit16,102
2025-06-07 18:27:14,efficientnetb0,36
2025-06-07 18:27:14,resnet18,36
2025-06-07 18:27:14,vit16,73
2025-06-07 18:27:15,resnet18,38
2025-06-07 18:27:15,efficientnetb0,38
2025-06-07 18:27:15,vit16,77
2025-06-07 18:27:16,efficientnetb0,40
2025-06-07 18:27:16,resnet18,20
2025-06-07 18:27:16,vit16,40
2025-06-07 18:27:17,resnet18,62
2025-06-07 18:27:17,vit16,126
2025-06-07 18:27:17,efficientnetb0,42
2025-06-07 18:27:18,vit16,44
2025-06-07 18:27:18,resnet18,22
2025-06-07 18:27:18,efficientnetb0,44
2025-06-07 18:27:19,efficientnetb0,46
2025-06-07 18:27:19,resnet18,68
2025-06-07 18:27:19,vit16,138
2025-06-07 18:27:20,efficientnetb0,48
2025-06-07 18:27:20,resnet18,48
2025-06-07 18:27:20,vit16,97
2025-06-07 18:27:21,efficientnetb0,50
2025-06-07 18:27:21,resnet18,25
2025-06-07 18:27:21,vit16,100
2025-06-07 18:27:22,efficientnetb0,50
2025-06-07 18:27:22,resnet18,50
2025-06-07 18:27:22,vit16,50
2025-06-07 18:27:23,resnet18,50
2025-06-07 18:27:23,vit16,100
2025-06-07 18:27:23,efficientnetb0,50
2025-06-07 18:27:24,efficientnetb0,50
2025-06-07 18:27:24,resnet18,50
2025-06-07 18:27:24,vit16,150
2025-06-07 18:27:25,efficientnetb0,50
2025-06-07 18:27:25,resnet18,50
2025-06-07 18:27:25,vit16,100
2025-06-07 18:27:26,resnet18,50
2025-06-07 18:27:26,efficientnetb0,50
2025-06-07 18:27:26,vit16,100
2025-06-07 18:27:27,efficientnetb0,50
2025-06-07 18:27:27,resnet18,50
2025-06-07 18:27:27,vit16,100
2025-06-07 18:27:28,resnet18,50
2025-06-07 18:27:28,vit16,100
2025-06-07 18:27:28,efficientnetb0,50
2025-06-07 18:27:29,vit16,100
2025-06-07 18:27:29,resnet18,50
2025-06-07 18:27:29,efficientnetb0,50
2025-06-07 18:27:30,efficientnetb0,50
2025-06-07 18:27:30,resnet18,50
2025-06-07 18:27:30,vit16,100
2025-06-07 18:27:31,efficientnetb0,50
2025-06-07 18:27:31,resnet18,50
2025-06-07 18:27:31,vit16,100
2025-06-07 18:27:32,efficientnetb0,50
2025-06-07 18:27:32,resnet18,50
2025-06-07 18:27:32,vit16,100
2025-06-07 18:27:33,efficientnetb0,50
2025-06-07 18:27:33,resnet18,50
2025-06-07 18:27:33,vit16,100
2025-06-07 18:27:34,resnet18,50
2025-06-07 18:27:34,vit16,100
2025-06-07 18:27:34,efficientnetb0,50
2025-06-07 18:27:35,efficientnetb0,50
2025-06-07 18:27:35,resnet18,50
2025-06-07 18:27:35,vit16,100
2025-06-07 18:27:36,efficientnetb0,50
2025-06-07 18:27:36,resnet18,50
2025-06-07 18:27:36,vit16,100
2025-06-07 18:27:37,resnet18,50
2025-06-07 18:27:37,efficientnetb0,50
2025-06-07 18:27:37,vit16,100
2025-06-07 18:27:38,efficientnetb0,50
2025-06-07 18:27:38,resnet18,50
2025-06-07 18:27:38,vit16,100
2025-06-07 18:27:39,resnet18,50
2025-06-07 18:27:39,vit16,100
2025-06-07 18:27:39,efficientnetb0,50
2025-06-07 18:27:40,vit16,50
2025-06-07 18:27:40,resnet18,25
2025-06-07 18:27:40,efficientnetb0,25
2025-06-07 18:27:41,efficientnetb0,75
2025-06-07 18:27:41,resnet18,75
2025-06-07 18:27:41,vit16,100
2025-06-07 18:27:42,efficientnetb0,50
2025-06-07 18:27:42,resnet18,50
2025-06-07 18:27:42,vit16,150
2025-06-07 18:27:43,efficientnetb0,50
2025-06-07 18:27:43,resnet18,50
2025-06-07 18:27:43,vit16,100
2025-06-07 18:27:44,efficientnetb0,50
2025-06-07 18:27:44,resnet18,50
2025-06-07 18:27:44,vit16,100
2025-06-07 18:27:45,resnet18,50
2025-06-07 18:27:45,vit16,100
2025-06-07 18:27:45,efficientnetb0,50
2025-06-07 18:27:46,efficientnetb0,50
2025-06-07 18:27:46,resnet18,50
2025-06-07 18:27:46,vit16,100
