timestamp,model_name,violation_count
2025-06-07 21:16:14,efficientnetb0,1
2025-06-07 21:16:14,resnet18,1
2025-06-07 21:16:14,vit16,3
2025-06-07 21:16:15,efficientnetb0,3
2025-06-07 21:16:15,resnet18,3
2025-06-07 21:16:15,vit16,7
2025-06-07 21:16:16,efficientnetb0,5
2025-06-07 21:16:16,resnet18,5
2025-06-07 21:16:16,vit16,11
2025-06-07 21:16:17,efficientnetb0,7
2025-06-07 21:16:17,resnet18,7
2025-06-07 21:16:17,vit16,7
2025-06-07 21:16:18,resnet18,4
2025-06-07 21:16:19,efficientnetb0,2
2025-06-07 21:16:19,resnet18,5
2025-06-07 21:16:23,efficientnetb0,3
2025-06-07 21:16:25,efficientnetb0,3
2025-06-07 21:16:26,efficientnetb0,4
2025-06-07 21:16:27,efficientnetb0,6
2025-06-07 21:16:28,efficientnetb0,7
2025-06-07 21:16:29,efficientnetb0,24
2025-06-07 21:16:30,efficientnetb0,1
2025-06-07 21:16:32,efficientnetb0,5
2025-06-07 21:16:34,efficientnetb0,4
2025-06-07 21:16:34,resnet18,4
2025-06-07 21:16:35,resnet18,11
2025-06-07 21:16:35,efficientnetb0,11
2025-06-07 21:16:37,efficientnetb0,31
2025-06-07 21:16:37,resnet18,31
2025-06-07 21:16:38,efficientnetb0,9
2025-06-07 21:16:38,resnet18,9
2025-06-07 21:16:39,efficientnetb0,17
2025-06-07 21:16:39,resnet18,17
2025-06-07 21:16:40,efficientnetb0,17
2025-06-07 21:16:41,efficientnetb0,17
2025-06-07 21:16:42,efficientnetb0,17
2025-06-07 21:16:43,efficientnetb0,17
2025-06-07 21:16:43,vit16,8
2025-06-07 21:16:44,efficientnetb0,17
2025-06-07 21:16:46,efficientnetb0,42
2025-06-07 21:16:47,efficientnetb0,50
2025-06-07 21:16:48,efficientnetb0,50
2025-06-07 21:16:49,efficientnetb0,50
2025-06-07 21:16:50,efficientnetb0,50
2025-06-07 21:16:51,efficientnetb0,50
2025-06-07 21:16:52,efficientnetb0,50
2025-06-07 21:16:53,efficientnetb0,50
2025-06-07 21:16:54,efficientnetb0,50
2025-06-07 21:16:55,efficientnetb0,50
2025-06-07 21:16:56,efficientnetb0,50
2025-06-07 21:16:57,efficientnetb0,50
2025-06-07 21:16:58,efficientnetb0,50
2025-06-07 21:16:59,efficientnetb0,50
2025-06-07 21:17:00,efficientnetb0,50
2025-06-07 21:17:01,efficientnetb0,50
2025-06-07 21:17:02,efficientnetb0,50
2025-06-07 21:17:03,efficientnetb0,42
2025-06-07 21:17:04,efficientnetb0,42
2025-06-07 21:17:04,resnet18,9
2025-06-07 21:17:05,efficientnetb0,25
2025-06-07 21:17:05,resnet18,9
2025-06-07 21:17:06,efficientnetb0,25
2025-06-07 21:17:07,efficientnetb0,17
2025-06-07 21:17:08,efficientnetb0,17
2025-06-07 21:17:09,efficientnetb0,17
2025-06-07 21:17:10,efficientnetb0,17
2025-06-07 21:17:11,efficientnetb0,17
2025-06-07 21:17:12,efficientnetb0,17
2025-06-07 21:17:13,efficientnetb0,17
2025-06-07 21:17:14,efficientnetb0,17
2025-06-07 21:17:15,efficientnetb0,17
2025-06-07 21:17:16,efficientnetb0,17
2025-06-07 21:17:17,efficientnetb0,17
2025-06-07 21:17:18,efficientnetb0,17
2025-06-07 21:17:19,efficientnetb0,17
2025-06-07 21:17:20,efficientnetb0,17
2025-06-07 21:17:22,efficientnetb0,42
2025-06-07 21:17:23,efficientnetb0,50
2025-06-07 21:17:24,vit16,28
2025-06-07 21:17:24,efficientnetb0,50
2025-06-07 21:17:25,efficientnetb0,50
2025-06-07 21:17:26,efficientnetb0,50
2025-06-07 21:17:27,efficientnetb0,50
2025-06-07 21:17:28,efficientnetb0,42
2025-06-07 21:17:29,efficientnetb0,17
2025-06-07 21:17:30,efficientnetb0,17
2025-06-07 21:17:31,efficientnetb0,17
2025-06-07 21:17:32,efficientnetb0,17
2025-06-07 21:17:33,efficientnetb0,17
2025-06-07 21:17:34,efficientnetb0,17
2025-06-07 21:17:35,efficientnetb0,17
2025-06-07 21:17:36,efficientnetb0,17
2025-06-07 21:17:37,resnet18,1
2025-06-07 21:17:37,efficientnetb0,9
2025-06-07 21:17:39,vit16,52
2025-06-07 21:17:40,vit16,26
2025-06-07 21:17:41,vit16,110
2025-06-07 21:17:42,vit16,60
2025-06-07 21:17:43,efficientnetb0,17
2025-06-07 21:17:43,vit16,12
2025-06-07 21:17:44,efficientnetb0,17
2025-06-07 21:17:45,efficientnetb0,17
2025-06-07 21:17:46,efficientnetb0,25
2025-06-07 21:17:47,efficientnetb0,50
2025-06-07 21:17:48,efficientnetb0,50
2025-06-07 21:17:49,efficientnetb0,50
2025-06-07 21:17:50,efficientnetb0,50
2025-06-07 21:17:51,efficientnetb0,50
2025-06-07 21:17:52,efficientnetb0,50
2025-06-07 21:17:53,efficientnetb0,50
2025-06-07 21:17:54,efficientnetb0,50
2025-06-07 21:17:55,efficientnetb0,50
2025-06-07 21:17:56,efficientnetb0,25
2025-06-07 21:17:57,efficientnetb0,50
2025-06-07 21:17:58,efficientnetb0,50
2025-06-07 21:17:59,efficientnetb0,25
2025-06-07 21:18:00,efficientnetb0,25
2025-06-07 21:18:01,efficientnetb0,50
2025-06-07 21:18:01,resnet18,8
2025-06-07 21:18:02,efficientnetb0,50
2025-06-07 21:18:03,efficientnetb0,75
2025-06-07 21:18:04,efficientnetb0,25
2025-06-07 21:18:05,efficientnetb0,50
2025-06-07 21:18:06,efficientnetb0,75
2025-06-07 21:18:07,efficientnetb0,25
2025-06-07 21:18:08,efficientnetb0,50
2025-06-07 21:18:09,efficientnetb0,75
2025-06-07 21:18:10,efficientnetb0,25
2025-06-07 21:18:11,efficientnetb0,50
2025-06-07 21:18:12,efficientnetb0,75
2025-06-07 21:18:13,efficientnetb0,25
2025-06-07 21:18:14,efficientnetb0,50
2025-06-07 21:18:15,efficientnetb0,75
2025-06-07 21:18:16,efficientnetb0,25
2025-06-07 21:18:16,vit16,8
2025-06-07 21:18:17,efficientnetb0,50
2025-06-07 21:18:18,efficientnetb0,75
2025-06-07 21:18:19,efficientnetb0,17
2025-06-07 21:18:20,efficientnetb0,17
2025-06-07 21:18:21,efficientnetb0,17
2025-06-07 21:18:23,efficientnetb0,50
2025-06-07 21:18:24,efficientnetb0,75
2025-06-07 21:18:25,efficientnetb0,18
2025-06-07 21:18:25,vit16,8
2025-06-07 21:18:26,efficientnetb0,17
2025-06-07 21:18:27,efficientnetb0,17
2025-06-07 21:18:29,efficientnetb0,9
2025-06-07 21:18:30,efficientnetb0,34
2025-06-07 21:18:31,efficientnetb0,26
2025-06-07 21:18:31,resnet18,17
2025-06-07 21:18:32,resnet18,17
2025-06-07 21:18:33,efficientnetb0,1
2025-06-07 21:18:33,resnet18,59
2025-06-07 21:18:35,efficientnetb0,9
2025-06-07 21:18:35,resnet18,75
2025-06-07 21:18:35,vit16,10
2025-06-07 21:18:36,efficientnetb0,10
2025-06-07 21:18:36,resnet18,50
2025-06-07 21:18:36,vit16,16
2025-06-07 21:18:38,resnet18,50
2025-06-07 21:18:39,efficientnetb0,17
2025-06-07 21:18:39,resnet18,75
2025-06-07 21:18:40,efficientnetb0,9
2025-06-07 21:18:40,resnet18,50
2025-06-07 21:18:41,resnet18,25
2025-06-07 21:18:41,vit16,12
2025-06-07 21:18:42,efficientnetb0,9
2025-06-07 21:18:42,resnet18,75
2025-06-07 21:18:42,vit16,6
2025-06-07 21:18:43,efficientnetb0,9
2025-06-07 21:18:43,resnet18,50
2025-06-07 21:18:43,vit16,6
2025-06-07 21:18:44,resnet18,25
2025-06-07 21:18:45,resnet18,50
2025-06-07 21:18:46,resnet18,50
2025-06-07 21:18:47,resnet18,50
2025-06-07 21:18:48,resnet18,50
2025-06-07 21:18:49,resnet18,50
2025-06-07 21:18:50,resnet18,50
2025-06-07 21:18:51,resnet18,50
2025-06-07 21:18:52,resnet18,50
2025-06-07 21:18:53,resnet18,50
2025-06-07 21:18:54,resnet18,75
2025-06-07 21:18:55,resnet18,25
2025-06-07 21:18:56,efficientnetb0,17
2025-06-07 21:18:56,resnet18,50
2025-06-07 21:18:57,resnet18,75
2025-06-07 21:18:57,efficientnetb0,1
2025-06-07 21:18:58,resnet18,25
2025-06-07 21:18:59,efficientnetb0,26
2025-06-07 21:18:59,resnet18,50
2025-06-07 21:19:00,efficientnetb0,34
2025-06-07 21:19:00,resnet18,50
2025-06-07 21:19:01,efficientnetb0,42
2025-06-07 21:19:01,resnet18,50
2025-06-07 21:19:02,efficientnetb0,26
2025-06-07 21:19:02,resnet18,50
2025-06-07 21:19:03,efficientnetb0,51
2025-06-07 21:19:03,resnet18,75
2025-06-07 21:19:04,resnet18,25
2025-06-07 21:19:04,efficientnetb0,25
2025-06-07 21:19:05,efficientnetb0,18
2025-06-07 21:19:05,resnet18,50
2025-06-07 21:19:06,efficientnetb0,43
2025-06-07 21:19:06,resnet18,75
2025-06-07 21:19:07,efficientnetb0,25
2025-06-07 21:19:07,resnet18,25
2025-06-07 21:19:08,efficientnetb0,17
2025-06-07 21:19:08,resnet18,50
2025-06-07 21:19:09,efficientnetb0,17
2025-06-07 21:19:09,resnet18,50
2025-06-07 21:19:10,efficientnetb0,17
2025-06-07 21:19:10,resnet18,50
