batch_size,avg_latency_ms,peak_memory_mb
287,181.658,3567.56
288,179.827,3565.56
289,182.577,3565.56
290,182.15,3569.56
291,179.405,3567.56
292,178.548,3567.56
293,180.192,3571.56
294,178.707,3569.56
295,184.077,3569.56
296,184.197,3571.56
297,186.109,3573.56
298,185.333,3571.56
299,183.694,3571.56
300,185.48,3573.56
301,184.469,3573.56
302,185.413,3573.56
303,188.314,3573.56
304,183.646,3575.56
305,183.343,3575.56
306,184.578,3575.56
307,186.079,3577.56
308,186.046,3577.56
309,186.574,3577.56
310,185.71,3579.56
311,189.037,3579.56
312,190.381,3579.56
313,189.789,3579.56
314,189.392,3581.56
315,189.139,3581.56
316,189.887,3581.56
317,190.978,3583.56
318,192.041,3583.56
319,190.897,3583.56
320,189.527,3583.56
321,188.545,3585.56
322,186.061,3585.56
323,186.982,3585.56
324,190.17,3587.56
325,190.8,3587.56
326,189.863,3591.56
327,192.379,3587.56
328,193.482,3589.56
329,194.555,3589.56
330,194.75,3589.56
331,195.377,3591.56
332,195.16,3591.56
333,194.376,3591.56
334,195.131,3591.56
335,214.885,4617.56
336,211.984,4617.56
337,212.865,4617.56
338,213.563,4619.56
339,213.605,4619.56
340,212.99,4619.56
341,213.452,4619.56
342,216.632,4621.56
343,215.638,4621.56
344,216.515,4621.56
345,216.763,4623.56
346,216.621,4623.56
347,216.878,4623.56
348,217.315,4623.56
349,216.888,4625.56
350,213.36,4625.56
351,216.235,4625.56
352,216.276,4627.56
353,216.237,4627.56
354,216.822,4627.56
355,217.664,4627.56
356,217.454,4629.56
357,219.008,4629.56
358,220.091,4629.56
359,220.006,4631.56
360,219.049,4631.56
361,220.912,4631.56
362,221.971,4631.56
363,222.32,4633.56
364,221.216,4633.56
365,221.664,4633.56
366,220.59,4635.56
367,220.814,4635.56
368,219.535,4635.56
369,221.883,4635.56
370,220.768,4637.56
371,223.131,4637.56
372,223.226,4637.56
373,222.861,4639.56
374,223.364,4639.56
375,225.991,4639.56
376,226.131,4639.56
377,225.156,4641.56
378,225.043,4641.56
379,227.097,4641.56
380,226.47,4643.56
381,227.665,4643.56
382,227.866,4643.56
383,228.067,4643.56
384,226.272,4645.56
385,224.493,4645.56
386,224.045,4645.56
387,225.557,4647.56
388,227.564,4647.56
389,228.128,4647.56
390,225.824,4647.56
391,228.142,4651.56
392,228.588,4649.56
393,229.413,4649.56
394,231.519,4651.56
395,232.627,4651.56
396,231.721,4651.56
397,232.003,4651.56
398,231.897,4653.56
399,233.26,4653.56
400,232.602,4653.56
401,233.407,4655.56
402,232.654,4655.56
403,233.002,4655.56
404,234.36,4655.56
405,234.359,4657.56
406,234.885,4657.56
407,235.798,4657.56
408,236.587,4659.56
409,235.061,4659.56
410,235.435,4659.56
411,235.626,4661.56
412,235.867,4661.56
413,236.739,4661.56
414,236.543,4661.56
415,236.797,4663.56
416,236.426,4663.56
417,238.579,4663.56
418,238.767,4665.56
419,237.527,4665.56
420,239.643,4665.56
421,239.486,4665.56
422,240.72,4667.56
423,240.351,4667.56
424,239.923,4667.56
425,242.023,4669.56
426,242.749,4669.56
427,243.04,4669.56
428,243.139,4669.56
429,242.212,4671.56
430,241.787,4671.56
431,242.509,4671.56
432,242.412,4673.56
433,242.756,4673.56
434,244.106,4673.56
435,244.351,4673.56
436,244.791,4675.56
437,245.09,4675.56
438,246.026,4675.56
439,246.134,4677.56
440,246.222,4677.56
441,246.907,4677.56
442,246.57,4677.56
443,246.628,4679.56
444,247.405,4679.56
445,248.593,4679.56
446,277.505,6729.56
447,283.883,6729.56
448,283.039,6729.56
449,283.184,6729.56
450,283.214,6731.56
451,281.477,6731.56
452,285.016,6731.56
453,283.263,6733.56
454,283.185,6733.56
455,280.321,6733.56
456,283.355,6733.56
457,284.946,6735.56
458,284.798,6735.56
459,281.982,6735.56
460,283.932,6737.56
461,287.367,6737.56
462,287.566,6737.56
463,287.902,6737.56
464,287.824,6739.56
465,288.108,6739.56
466,287.898,6739.56
467,286.298,6741.56
468,283.879,6741.56
469,286.632,6741.56
470,286.229,6741.56
471,288.672,6743.56
472,289.383,6743.56
473,290.017,6743.56
474,289.766,6745.56
475,286.452,6745.56
476,288.258,6745.56
477,286.028,6745.56
478,290.782,6747.56
479,289.629,6747.56
480,289.977,6747.56
481,293.492,6749.56
482,292.152,6749.56
483,292.599,6749.56
484,291.749,6749.56
485,292.672,6751.56
486,292.203,6751.56
487,292.79,6751.56
488,296.207,6753.56
489,294.944,6753.56
490,296.02,6753.56
491,295.741,6753.56
492,292.818,6755.56
493,293.889,6755.56
494,291.518,6755.56
495,291.959,6757.56
496,293.274,6757.56
497,295.684,6757.56
498,297.012,6757.56
499,300.1,6759.56
500,296.387,6759.56
501,295.589,6759.56
502,298.675,6761.56
503,297.905,6761.56
504,298.649,6761.56
505,299.432,6761.56
506,300.83,6763.56
507,297.08,6763.56
508,300.612,6763.56
509,300.218,6765.56
510,302.177,6765.56
511,300.066,6765.56
512,299.453,6765.56
513,301.088,6767.56
514,301.887,6767.56
515,302.644,6767.56
516,305.661,6769.56
517,305.198,6769.56
518,303.385,6769.56
519,306.664,6771.56
520,304.003,6771.56
521,303.344,6771.56
522,305.568,6771.56
523,303.999,6773.56
524,304.71,6773.56
525,306.959,6773.56
526,306.785,6775.56
527,301.752,6775.56
528,304.753,6775.56
529,304.127,6775.56
530,303.988,6777.56
531,305.541,6777.56
532,307.658,6777.56
533,309.835,6779.56
534,310.145,6779.56
535,309.103,6779.56
536,310.394,6779.56
537,310.54,6781.56
538,310.043,6781.56
539,310.966,6781.56
540,310.913,6783.56
541,309.925,6783.56
542,313.373,6783.56
543,314.621,6783.56
544,314.524,6785.56
545,308.544,6785.56
546,311.13,6785.56
547,312.977,6787.56
548,312.52,6787.56
549,311.8,6787.56
550,316.231,6787.56
551,316.338,6789.56
552,316.566,6789.56
553,311.561,6789.56
554,311.709,6791.56
555,314.878,6791.56
556,313.479,6791.56
557,313.903,6791.56
558,315.816,6793.56
559,316.69,6793.56
560,316.965,6793.56
561,319.684,6795.56
562,318.425,6795.56
563,316.949,6795.56
564,317.466,6795.56
565,318.526,6797.56
566,318.87,6797.56
567,323.179,6797.56
568,319.792,6799.56
569,319.405,6799.56
570,319.437,6799.56
571,319.559,6799.56
572,320.755,6801.56
573,325.081,6801.56
574,319.992,6801.56
575,319.634,6803.56
576,321.771,6803.56
577,321.743,6803.56
578,322.146,6803.56
579,323.864,6805.56
580,323.637,6805.56
581,325.139,6805.56
582,323.506,6807.56
583,322.737,6807.56
584,322.379,6807.56
585,323.643,6807.56
586,326.081,6809.56
587,323.552,6809.56
588,323.418,6809.56
589,324.602,6811.56
590,328.24,6811.56
591,327.637,6811.56
592,329.476,6811.56
593,330.226,6813.56
594,330.951,6813.56
595,330.455,6813.56
596,328.588,6815.56
597,330.119,6815.56
598,331.231,6815.56
599,331.11,6815.56
600,327.871,6817.56
601,329.061,6817.56
602,328.611,6817.56
603,334.505,6819.56
604,329.203,6819.56
605,333.742,6819.56
606,330.847,6819.56
607,333.769,6821.56
608,333.819,6821.56
609,333.878,6821.56
610,334.635,6823.56
611,332.967,6823.56
612,334.558,6823.56
613,334.666,6823.56
614,337.349,6825.56
615,336.208,6825.56
616,336.464,6825.56
617,332.638,6827.56
618,334.7,6827.56
619,335.877,6827.56
620,334.325,6829.56
621,332.936,6829.56
622,335.591,6829.56
623,337.727,6829.56
624,335.913,6831.56
625,338.006,6831.56
626,340.413,6831.56
627,339.481,6833.56
628,340.496,6833.56
629,342.383,6833.56
630,342.509,6833.56
631,337.746,6835.56
632,339.522,6835.56
633,343.162,6835.56
634,342.908,6837.56
635,342.278,6837.56
636,345.099,6837.56
637,338.798,6837.56
638,341.114,6839.56
639,341.44,6839.56
640,342.889,6839.56
641,340.576,6841.56
642,343.941,6841.56
643,342.442,6841.56
644,343.205,6841.56
645,344.222,6843.56
646,346.067,6845.56
647,347.1,6843.56
648,341.999,6845.56
649,343.409,6845.56
650,341.342,6845.56
651,342.992,6845.56
652,345.503,6847.56
653,343.531,6847.56
654,347.301,6847.56
655,349.498,6849.56
656,348.798,6849.56
657,351.461,6849.56
658,348.671,6849.56
659,350.496,6851.56
660,349.937,6851.56
661,348.633,6851.56
662,349.2,6853.56
663,351.512,6853.56
664,352.939,6853.56
665,352.884,6853.56
666,353.959,6855.56
667,352.764,6855.56
668,355.647,6855.56
669,385.363,8905.56
670,381.22,8905.56
671,382.186,8905.56
672,386.209,8905.56
673,383.978,8907.56
674,383.719,8907.56
675,382.934,8907.56
676,383.072,8909.56
677,387.744,8909.56
678,387.146,8909.56
679,389.339,8909.56
680,387.925,8911.56
681,388.979,8911.56
682,386.927,8911.56
683,387.908,8913.56
684,388.513,8913.56
685,386.073,8913.56
686,390.334,8913.56
687,392.995,8915.56
688,392.336,8915.56
689,393.107,8915.56
690,395.62,8917.56
691,392.072,8917.56
692,392.534,8917.56
693,394.847,8917.56
694,393.527,8919.56
695,391.906,8919.56
696,389.849,8919.56
697,391.786,8921.56
698,392.533,8921.56
699,397.319,8921.56
700,397.599,8921.56
701,397.725,8923.56
702,397.807,8923.56
703,397.356,8923.56
704,397.99,8925.56
705,400.754,8925.56
706,398.954,8925.56
707,402.966,8925.56
708,402.698,8927.56
709,397.975,8927.56
710,397.8,8927.56
711,396.951,8929.56
712,397.011,8929.56
713,398.893,8929.56
714,400.575,8929.56
715,401.153,8931.56
716,399.053,8931.56
717,400.271,8931.56
718,399.238,8933.56
719,399.549,8933.56
720,400.06,8933.56
721,398.471,8935.56
722,397.588,8935.56
723,400.644,8935.56
724,401.049,8935.56
725,400.403,8937.56
726,403.076,8937.56
727,405.285,8937.56
728,407.899,8939.56
729,410.636,8939.56
730,407.334,8939.56
731,407.208,8939.56
732,407.254,8941.56
733,402.608,8941.56
734,406.015,8941.56
735,408.121,8943.56
736,410.299,8943.56
737,410.374,8943.56
738,410.185,8943.56
739,408.28,8945.56
740,411.668,8945.56
741,409.403,8945.56
742,409.046,8947.56
743,405.952,8947.56
744,407.797,8947.56
745,412.224,8947.56
746,409.377,8949.56
747,412.265,8949.56
748,412.132,8949.56
749,412.832,8951.56
750,408.854,8951.56
751,411.898,8951.56
752,414.063,8951.56
753,411.176,8953.56
754,414.181,8953.56
755,417.046,8953.56
756,412.367,8955.56
757,415.322,8955.56
758,413.677,8955.56
759,416.132,8955.56
760,421.275,8957.56
761,422.158,8957.56
762,414.13,8957.56
763,414.438,8959.56
764,416.622,8959.56
765,416.791,8959.56
766,418.623,8959.56
767,418.458,8961.56
768,421.529,8961.56
769,420.042,8961.56
770,419.049,8963.56
771,423.679,8963.56
772,419.64,8963.56
773,418.121,8963.56
774,416.322,8965.56
775,418.717,8965.56
776,420.297,8965.56
777,419.268,8967.56
778,419.57,8967.56
779,417.118,8967.56
780,419.744,8967.56
781,421.841,8969.56
782,421.592,8969.56
783,421.547,8969.56
784,420.978,8971.56
785,422.369,8971.56
786,420.986,8971.56
787,423.203,8971.56
788,424.343,8973.56
789,425.007,8973.56
790,426.346,8973.56
791,421.172,8975.56
792,422.974,8975.56
793,427.745,8975.56
794,429.235,8975.56
795,431.007,8977.56
796,427.242,8977.56
797,427.602,8977.56
798,430.063,8979.56
799,431.197,8979.56
800,430.546,8979.56
801,427.811,8979.56
802,432.224,8981.56
803,431.728,8981.56
804,425.44,8981.56
805,429.56,8983.56
806,429.171,8983.56
807,431.401,8983.56
808,425.882,8983.56
809,426.182,8985.56
810,429.648,8985.56
811,429.109,8985.56
812,429.606,8987.56
813,429.584,8987.56
814,431.695,8987.56
815,431.042,8987.56
816,433.37,8989.56
817,433.83,8989.56
818,434.601,8989.56
819,432.689,8991.56
820,430.108,8991.56
821,432.16,8991.56
822,436.432,8993.56
823,437.15,8993.56
824,442.238,8993.56
825,439.443,8993.56
826,439.684,8995.56
827,440.718,8995.56
828,435.687,8995.56
829,434.969,8997.56
830,435.297,8997.56
831,437.767,8997.56
832,438.055,8997.56
833,438.015,8999.56
834,437.03,8999.56
835,441.272,8999.56
836,437.134,9001.56
837,437.072,9001.56
838,441.321,9001.56
839,443.162,9001.56
840,444.092,9003.56
841,444.883,9003.56
842,441.46,9003.56
843,442.332,9005.56
844,444.133,9005.56
845,444.937,9005.56
846,445.912,9005.56
847,447.438,9007.56
848,448.965,9007.56
849,445.274,9007.56
850,442.435,9009.56
851,442.632,9009.56
852,444.168,9009.56
853,444.261,9009.56
854,445.035,9011.56
855,449.115,9011.56
856,449.906,9011.56
857,452.649,9013.56
858,446.655,9013.56
859,447.594,9013.56
860,444.957,9013.56
861,444.598,9015.56
862,446.524,9015.56
863,449.141,9015.56
864,450.998,9017.56
865,450.78,9017.56
866,452.228,9017.56
867,452.701,9017.56
868,450.33,9019.56
869,451.861,9019.56
870,451.434,9019.56
871,454.184,9021.56
872,450.296,9021.56
873,448.63,9021.56
874,453.129,9021.56
875,455.248,9023.56
876,456.238,9023.56
877,456.168,9023.56
878,457.668,9025.56
879,455.534,9025.56
880,459.612,9025.56
881,456.573,9025.56
882,456.537,9027.56
883,456.706,9027.56
884,456.608,9027.56
885,452.781,9029.56
886,455.673,9029.56
887,457.918,9029.56
888,458.232,9029.56
889,462.64,9031.56
890,462.877,9031.56
891,459.116,9031.56
892,515.434,13129.6
893,518.498,13129.6
894,519.764,13129.6
895,522.459,13129.6
896,526.88,13131.6
897,523.704,13131.6
898,521.711,13131.6
899,527.962,13133.6
900,525.521,13133.6
901,525.005,13133.6
902,522.39,13133.6
903,521.539,13135.6
904,525.991,13135.6
905,525.079,13135.6
906,525.897,13137.6
907,529.109,13137.6
908,523.772,13137.6
909,525.398,13137.6
910,530.237,13139.6
911,527.977,13139.6
912,525.595,13139.6
913,526.251,13141.6
914,525.056,13141.6
915,526.457,13141.6
916,531.428,13141.6
917,534.193,13143.6
918,529.025,13143.6
919,533.441,13143.6
920,536.394,13145.6
921,535.013,13145.6
922,536.691,13145.6
923,527.877,13147.6
924,534.636,13147.6
925,533.925,13147.6
926,533.784,13147.6
927,537.728,13149.6
928,530.485,13149.6
929,529.05,13149.6
930,531.809,13151.6
931,530.328,13151.6
932,531.511,13151.6
933,532.885,13151.6
934,535.96,13153.6
935,535.565,13153.6
936,534.021,13153.6
937,534.835,13155.6
938,534.497,13155.6
939,534.307,13155.6
940,537.425,13155.6
941,532.846,13157.6
942,534.64,13157.6
943,534.028,13157.6
944,536.667,13159.6
945,535.713,13159.6
946,536.796,13159.6
947,536.534,13159.6
948,538.293,13161.6
949,536.92,13161.6
950,538.199,13161.6
951,535.792,13163.6
952,536.768,13163.6
953,538.765,13163.6
954,543.693,13163.6
955,541.063,13165.6
956,543.157,13165.6
957,539.189,13165.6
958,537.885,13167.6
959,544.339,13167.6
960,541.513,13167.6
961,537.742,13167.6
962,542.198,13169.6
963,540.821,13169.6
964,543.257,13169.6
965,542.346,13171.6
966,540.842,13171.6
967,544.264,13171.6
968,542.58,13171.6
969,546.668,13173.6
970,548.989,13173.6
971,545.616,13173.6
972,546.957,13175.6
973,548.451,13175.6
974,546.713,13175.6
975,546.958,13175.6
976,547.635,13177.6
977,549.492,13177.6
978,551.371,13177.6
979,550.447,13179.6
980,555.033,13179.6
981,545.402,13179.6
